Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Patient experiences of psychological therapy for depression: a qualitative metasynthesis","Patients' experiences of psychological therapies for depression reveal common factors, the need for assessment of negative outcomes, and the need for more involvement in therapy decisions.","S. McPherson, Claire Wicks, Ilaria Tercelli",2020,39,"Globally, national guidelines for depression have prioritised evidence from randomised controlled trials and quantitative meta-analyses, omitting qualitative research concerning patient experience of treatments. A review of patient experience research can provide a comprehensive overview of this important form of evidence and thus enable the voices and subjectivities of those affected by depression to have an impact on the treatments and services they are offered. This review aims to seek a comprehensive understanding of patient experiences of psychological therapies for depression using a systematic and rigorous approach to review and synthesis of qualitative research. PsychINFO, PsychARTICLES, MEDLINE, and CINAHL were searched for published articles using a qualitative approach to examine experiences of psychological therapies for depression. All types of psychological therapy were included irrespective of model or modes of delivery (e.g. remote or in person; group or individual). Each article was assessed following guidance provided by the Critical Appraisal Skill Programme tool. Articles were entered in full into NVIVO and themes were extracted and synthesized following inductive thematic analysis. Thirty-seven studies, representing 671 patients were included. Three main themes are described; the role of therapy features and setting; therapy processes and how they impact on outcomes; and therapy outcomes (benefits and limitations). Subthemes are described within these themes and include discussion of what works and what's unhelpful; issues integrating therapy with real life; patient preferences and individual difference; challenges of undertaking therapy; influence of the therapist; benefits of therapy; limits of therapy and what happens when therapy ends. Findings point to the importance of common factors in psychotherapies; highlight the need to assess negative outcomes; and indicate the need for patients to be more involved in discussions and decisions about therapy, including tailoring therapy to individual needs and taking social and cultural contexts into account.","systematic review","BMC Psychiatry","1","10.1186/s12888-020-02682-1","https://consensus.app/papers/patient-experiences-of-psychological-therapy-for-mcpherson-wicks/8f55316260f45c5584d3b7235a0ae94b/"
"Strengths and Limits of Psychodynamic Intervention Rating Scale (PIRS) in Capturing Psychotherapeutic Micro‐Process: A Systematic Review","The Psychodynamic Intervention Rating Scale (PIRS) effectively captures psychotherapeutic micro-processes, but its categories could be refined to better understand nuances.","Arianna Palmieri, Valentina Cimmino Picone, Alessandro Gennaro, Davide Ruffin, Valeria Capuani, J. R. Kleinbub",2025,0,"The Psychodynamic Intervention Rating Scale (PIRS) stands out as one of the most widely utilised coding systems aimed at categorising micro-process from psychotherapeutic dialogue due to its feasibility and adherence to the expressive-supportive continuum. Despite this, no comprehensive analysis of its application in the literature has been published. This systematic review aims to examine the state of the art, strengths, limitations and future perspectives of such a coding tool for verbatim transcripts. Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, a systematic search in databases (PsycINFO, Scopus, PubMed and Web of Science) covering publications from the PIRS's first occurrence in the scientific literature in 1992 to 2024 yielded 22 publications eligible for review. Three independent reviewers screened the studies and extracted data regarding PIRS applications and key findings. The studies examined revealed that PIRS can reliably classify interventions across various therapeutic approaches, surpassing its psychodynamic origins. It demonstrated peculiar efficacy in understanding therapeutic alliance mechanisms and patients' responses according to their typical defensive patterns. However, the findings also indicated some limitations concerning the breadth of PIRS categories, which may overlook the essential nuances of micro-processes. While the PIRS has proven its value for understanding clinical micro-process, its categories may be slightly refined. A proposal for a more granular classification of PIRS categories has finally been provided via a literature analysis.","systematic review","Clinical Psychology & Psychotherapy","1","10.1002/cpp.70073","https://consensus.app/papers/strengths-and-limits-of-psychodynamic-intervention-palmieri-picone/6297f83e333c57da85330900d8628c42/"
"Organizational Spirituality: Concept and Perspectives","Organizational spirituality is an organizational identity composed of workplace and individual spirituality, guided by leaders and influenced by environment, culture, and knowledge management, generating value and social good.","R. Rocha, P. Pinheiro",2020,108,"There is no agreed-upon, unique concept of spirituality; its dimensions and characteristics depend on the approach used. Spirituality appears in management studies from three main perspectives: individual spirituality, spirituality in the workplace, and organizational spirituality. Spirituality can also be considered from a religious perspective. This article identifies a comprehensive concept of organizational spirituality based on the terms and concepts used in the literature. A systematic review of the literature was made using the Web of Science and Scopus databases; the articles were then subjected to bibliometric analysis using VOSviewer software. The results included two clusters: organizational spirituality and workplace spirituality. Cluster analysis suggested that there is scope for research on workplace spirituality and a gap in organizational spirituality studies. The proposed concept for organizational spirituality is an organizational identity resulting from its values, practices, and discourse that is composed of workplace and individual spirituality guided by the leader and other members and influenced by the environment, organizational culture, and knowledge management. This spirituality generates value and social good that is visible in the organization’s image, mission, vision, and organizational values. This article contributes to the literature by the categorization and systematization of the existing literature and proposing a unified concept—a mental and linguistic representation of organizational spirituality—that represents its essence and confers the qualities and attributes inherent to this phenomenon.","systematic review","Journal of Business Ethics","1","10.1007/s10551-020-04463-y","https://consensus.app/papers/organizational-spirituality-concept-and-perspectives-rocha-pinheiro/f1a8525e63e15cf79eb7e3aaf3d3d592/"
"Therapists’ defense use impacts their patients’ defensive functioning: a systematic case study","Therapists' defensive functioning positively impacts patients' defensive functioning, promoting the development of more effective coping strategies in psychotherapy.","M. Di Giuseppe, K. Aafjes-van Doorn, Vera Békés, Bernard S. Gorman, K. Stukenberg, S. Waldron",2024,8,"Research into defensive functioning in psychotherapy has thus far focused on patients' defense use. However, also the defensive functioning of therapists might be significant because of its potential in promoting changes in the patient's overall defensive functioning by sharing their higher-level understanding of a given situation and letting the patient have the opportunity to learn how to cope more successfully. This exploratory case study is the first to examine therapist's defense mechanisms and their relationship to changes in the patient's defensive functioning evaluated at different times throughout psychoanalytic treatment. We assessed the use of defense mechanisms with the Defense Mechanisms Rating Scales in 20 sessions collected at three phases (early, middle and late) of the psychoanalytic treatment. For each session, we identified therapist's and patient's defenses, defense levels and overall defensive functioning, with particular attention to the sequence of consecutively activated defenses within the therapeutic dyad. Results showed that the patient's defensive functioning tended to gradually improve over the course of the treatment, with a slight decrease at the end. Therapists' overall defensive functioning remained stable throughout the treatment with values in the range of high-neurotic and mature defenses. Assessment of the dyadic interaction between therapist and patient's use of defenses showed that within-session, the patient tended to use the same individual defenses that the therapist used, which was especially pronounced in the initial phases of the treatment. Towards the end of the treatment, once there was a stable shared knowledge, the patient started to explore using new, higher-level defenses on her own, independent from what defenses the therapist used. Our findings emphasized the analyst's role in encouraging the development of more effective ways of coping in the patient, confirming previous theoretical and empirical research regarding the improvement of patient's defensive functioning in psychotherapy. The alterations in these coping strategies, also called high-adaptive defenses, as part of the therapist-patient interaction demonstrate the importance of studying defenses as an excellent process-based outcome measure. The measurement of the degree to which the analyst models and illustrates these superior coping methods to the patient is a prime vehicle for supporting internalization of these skills by the patient.","non-rct observational study","Research in Psychotherapy : Psychopathology, Process, and Outcome","","10.4081/ripppo.2024.797","https://consensus.app/papers/therapists-%E2%80%99-defense-use-impacts-their-patients-%E2%80%99-giuseppe-doorn/18a9209face05cafa26334919d38136e/"
"Positioning Shifts From Told Self to Performative Self in Psychotherapy","Therapists shift focus from clients' autobiographical self to their interactive and emotional self, promoting self-exploration and preparing for therapeutic insights.","Arnulf Deppermann, C. Scheidt, Anja Stukenbrock",2020,16,"According to Positioning Theory, participants in narrative interaction can position themselves on a representational level concerning the autobiographical, told self, and a performative level concerning the interactive and emotional self of the tellers. The performative self is usually much harder to pin down, because it is a non-propositional, enacted self. In contrast to everyday interaction, psychotherapists regularly topicalize the performative self explicitly. In our paper, we study how therapists respond to clients' narratives by interpretations of the client's conduct, shifting from the autobiographical identity of the told self, which is the focus of the client's story, to the present performative self of the client. Drawing on video recordings from three psychodynamic therapies () with 25 sessions each, we will analyze in detail five extracts of therapists' shifts from the representational to the performative self. We highlight four findings: • Whereas, clients' narratives often serve to support identity claims in terms of personal psychological and moral characteristics, therapists rather tend to focus on clients' feelings, motives, current behavior, and ways of interacting. • In response to clients' stories, therapists first show empathy and confirm clients' accounts, before shifting to clients' performative self. • Therapists ground the shift to clients' performative self by references to clients' observable behavior. • Therapists do not simply expect affiliation with their views on clients' performative self. Rather, they use such shifts to promote the clients' self-exploration. Yet, if clients resist to explore their selves in more detail, therapists more explicitly ascribe motives and feelings that clients do not seem to be aware of. The shift in positioning levels thus seems to have a preparatory function for engendering therapeutic insights.","non-rct observational study","Frontiers in Psychology","2","10.3389/fpsyg.2020.572436","https://consensus.app/papers/positioning-shifts-from-told-self-to-performative-self-in-deppermann-scheidt/3355bd5a611f555bb96e82898acb5250/"
"Psikososialitas dalam Teori Freud Merunut Kontribusi dan Kontroversi Sang Bapak Psikoanalisis dalam Studi Manusia","Freud's concepts of psychosociality play a crucial role in understanding individual dynamics in contemporary psychology, contributing to modern therapeutic approaches and human behavior understanding.","Putu Elvira Pradnya Paramitha, I. Perdana, Joni Bungai",2025,0,"The theory of psychoanalysis developed by Sigmund Freud is one of the most influential contributions in the history of modern psychology. This research discusses the role of Sigmund Freud's concepts of psychosociality in understanding individual dynamics in contemporary psychology. This research method adopts a qualitative research design. As for this research, it is accompanied by a library approach. This approach was chosen to explore and analyze Sigmund Freud's psychoanalytic theories through relevant library sources, such as books, journal articles and Freud's primary sources. Through an analysis of the literature, Freud's contribution to the understanding of personality structure, the concept of libido, and self-defense mechanisms is explained. The data collection technique in this research was carried out through a literature review. The data analysis technique uses the Miles and Huberman model, which is a systematic approach to analyzing qualitative data. Data analysis according to the Miles and Huberman approach is a systematic process for understanding and interpreting data in a study. The findings of this research highlight the relevance of Freud's concepts in modern therapeutic approaches and understanding of human behavior. Suggestions for the development of integrative therapeutic approaches, comparative studies between Freudian and alternative theories, and policy implications for psychological education are also discussed.","literature review","Metta : Jurnal Ilmu Multidisiplin","","10.37329/metta.v5i1.3531","https://consensus.app/papers/psikososialitas-dalam-teori-freud-merunut-kontribusi-dan-paramitha-perdana/b9166ce7c2135c75984cb7aa418d3e91/"
"Systematic review: long‐term cognitive and behavioural outcomes of neonatal hypoxic–ischaemic encephalopathy in children without cerebral palsy","Children with neonatal hypoxic-ischaemic encephalopathy without cerebral palsy are at increased risk of cognitive impairments and possibly behavioral problems.","M. Schreglmann, Amy Ground, B. Vollmer, M. Johnson",2020,91,"To evaluate long-term cognitive and behavioural outcomes of children with neonatal hypoxic-ischaemic encephalopathy (HIE) in the absence of cerebral palsy (CP). A systematic search was performed on five databases (EMBASE, Medline, PubMed, Web of Science, PsycInfo). Randomised controlled trials, non-randomised controlled trials, or observational studies, published between 1990 and 2017, that reported long-term (age greater than or equal to four years) cognitive and/or behavioural outcomes of neonatal HIE without CP were included. Seven articles met the inclusion criteria (n = 352 total participants, n = 53 treated with therapeutic hypothermia). Studies reporting cognitive outcome demonstrate impairment of general cognitive abilities in 25-63% of participants with HIE without CP. Specific cognitive difficulties were reported in two studies for attention, executive functioning, memory function and language. Results regarding behavioural outcome possibly indicate a higher risk of difficulties. A substantial proportion of children with neonatal HIE who survive without CP are at increased risk of general and/or specific cognitive impairments. Behavioural problems may be more common, but evidence is limited. Results highlight the importance of comprehensive long-term follow-up to identity difficulties and enable intervention to optimise educational achievement and behavioural adjustment.","systematic review","Acta Paediatrica","1","10.1111/apa.14821","https://consensus.app/papers/systematic-review-long%E2%80%90term-cognitive-and-behavioural-schreglmann-ground/f43f04d3114e5237a6fac3c828cc0c7d/"
"Autismo e mediação: interfaces com o Caps IJ","Psychoanalytic interventions in Child and Adolescent Psychosocial Care Centers (CAPS IJ) can enhance social bonds for autistic children by focusing on their interests and guiding the analyst's approach with a unique perspective.","Victória Giacomin Reali, A. Lucero",2025,0,"The article aims to reflect on psychoanalytic practice in relation to mental health, focusing on mediation techniques involving autism within the public system, particularly in Child and Adolescent Psychosocial Care Centers (CAPS IJ). It discusses therapeutic groups as an interesting work modality for children who exhibit difficulty in establishing social bonds. In this context, it explores the possibility of the institution offering workshops that consider the knowledge as situated on the child’s side, while the analyst’s approach should be guided by a unique perspective on the patients’ interests, in a detail-oriented clinical approach. This is a literature review that considers the theoretical contributions of Lacanian psychoanalysis, which highlights the voice as a primary object in the constitution of the autistic subject. The research references the recent publication by J-M. Vives and Isabelle Orrado (2021), Autism and Mediation, where the authors supports psychoanalytic interventions through the concept of mediation, emphasizing the invoking drive.","literature review","Analytica: Revista de Psicanálise","","10.69751/arp.v13i25.5674","https://consensus.app/papers/autismo-e-media%C3%A7%C3%A3o-interfaces-com-o-caps-ij-reali-lucero/9d992f5d53c457838e76ceab1e645721/"
"Short-term psychoanalytic psychotherapy with depressed adolescents: Comparing in-session interactions in good and poor outcome cases","Good outcomes in short-term psychoanalytic psychotherapy with depressed adolescents are associated with collaborative interaction patterns, while poor outcomes are linked to aggressive therapists and angry adolescents.","Guilherme Pacheco Fiorini, Yushi Bai, P. Fonagy, The Impact Consortium, N. Midgley",2023,3,"To identify and describe in-session interaction patterns between psychoanalytic therapists and adolescents diagnosed with major depressive disorder, comparing good and poor outcome cases.Audio recordings for 100 psychotherapy sessions from 10 Short-Term Psychoanalytic Psychotherapies were analysed using the Adolescent Psychotherapy Q-Set (APQ). The cases and sessions were evenly divided into two groups (poor outcome and good outcome, 5 patients and 50 sessions per group). Interaction patterns were analysed with an Exploratory Factor Analysis (EFA), while group differences were assessed through-tests.The EFA revealed three factors: (1) ""Open, engaged young person working collaboratively with a therapist to make sense of their experiences"", (2) ""Directive therapist with a young person fluctuating in emotional state and unwilling to explore"", (3) ""Young person expressing anger and irritation and challenging the therapist"". Factor 1 was significantly more prominent in the good outcome cases, while factor 3, on the contrary, was more significantly related to the poor outcome cases. Factor 2 was equally present in both groups.Besides reinforcing to researchers and clinicians the association between a collaborative psychotherapy process with good outcomes, our findings also provide empirical data regarding the role of anger in adolescent depression and the psychotherapy process.","non-rct observational study","Psychotherapy Research","1","10.1080/10503307.2023.2270140","https://consensus.app/papers/shortterm-psychoanalytic-psychotherapy-with-depressed-fiorini-bai/a41441855221546384886721fba5734f/"
"Personal therapy and the personal therapist","Personal therapy benefits psychotherapists by increasing empathy, genuineness, and working alliance, but has no direct effect on patient treatment.","Fredrik D. Moe, J. Thimm",2020,40,"Abstract Personal therapy has been proposed as an aid in promoting the professional development of psychotherapists by increasing their self-awareness, self-reflexivity, and self-knowledge of the therapy process and of personal characteristics. Psychoanalysis/psychodynamic therapies, cognitive-behavioral therapies, humanistic/experiential therapies, and systemic/family therapies argue that working with the personal and professional self of the therapist is valuable in this respect. The objective of the present study is to summarize the theoretical and empirical literature on personal therapy and its effects on the professional development of therapists and on patient treatment. A systematic review of the literature was conducted and demonstrated a convergence between reported benefits from personal therapy and therapist qualities. Psychotherapists have rationales (e.g. improvement of emotional and mental functioning and a better understanding of the dynamics between therapist and patient) for attending personal therapy, and self-report studies indicate that they experience benefits related to the important characteristics of effective therapists (e.g. empathy, genuineness, formation of a working alliance). Studies of personal therapy and therapist development find no causal connection or correlation with or effects on patient treatment. However, these studies exhibit methodological weaknesses, such as inadequate controls and small sample sizes, making conclusions equivocal.","systematic review","Nordic Psychology","3","10.1080/19012276.2020.1762713","https://consensus.app/papers/personal-therapy-and-the-personal-therapist-moe-thimm/86e005fca9ee5f82a46f4eed58fdf906/"
"Adverse events in psychotherapy randomized controlled trials: A systematic review","Adverse events affect more than one in ten participants in psychotherapy randomized controlled trials, with serious events occurring in one in 21 participants.","Rahel Klatte, B. Strauss, Christoph Flückiger, Jenny Rosendahl",2023,30,"Although evidence for benefits of psychotherapy is substantial, less is known about potential harm. Therefore, we systematically summarized randomized controlled trials (RCTs) to compile evidence-based data on the frequency and characteristics of adverse events (AEs) of psychotherapy.This systematic review of result publications is based on a review of harm consideration in psychotherapy study protocols.On the basis of 115 study protocols, 85 RCTs with 126 psychotherapy and 61 control conditions were eligible for inclusion. The sample consisted of 14,420 participants with the most common mental disorders. Harmful events, e.g., AEs, number of individuals with symptom deterioration, were explicitly reported in 60% of the studies. Conceptualization, recording, and reporting of AEs were heterogeneous. For most reported AEs, the association to study treatment remained unclear.Because the AE recording approaches of the individual studies differed substantially, results could only be compared to a limited extent. Consistent with other findings, this review demonstrates that AEs can be expected to affect more than one in ten participants. Serious AEs occurred more than in one in 21 participants in psychotherapy RCTs. To allow a balanced risk/benefit evaluation of psychotherapy, systematic harm monitoring and reporting should become standard in psychotherapy RCTs.","systematic review","Psychotherapy Research","1","10.1080/10503307.2023.2286992","https://consensus.app/papers/adverse-events-in-psychotherapy-randomized-controlled-klatte-strauss/c71ae5b559b450158523e9e0a93d58b8/"
"Psychoanalysis and pedagogy as a study that brought the concept of pedalysis to life: a method that works on learning and subjectivity","Pedanalysis is a valuable tool in Early Childhood Education, allowing for the identification of learning difficulties and intervention in classroom situations.","Benjamim Machado de Oliveira Neto",2023,1,"Abstract The article will have the proposal to develop a study on the relationship between psychoanalysis and education as an educational practice in Early Childhood Education, considering that the educational model is undergoing transformations due to the advancement of technology, political changes and innovations of globalization. The objective of the work is to reflect on the importance of the concept of Pedanalysis as an instrument that allows working with the learning process and the stages of development of children. The methodology will encompass a bibliographical review, based on specialized literature on the subject in question, in the quest to present the theoretical framework and how such works contribute to building a human, technical and meaningful teaching. The bibliographic content covers a set of authors and professionals in the field of psychology, education and psychoanalysis, in this case: Brenner (1987), Hal; Layton (2013); Lindsey (1984); Siqueira (2003); Shultz (1992); Tales (2001); Taquette (2013). In this way, research is of paramount importance to offer an investigation tool that makes it possible to identify conflicts, emotions and problematic behavior in childhood, which is capable of bringing a sensitive look to the level of learning difficulties and to intervene in such situations. situations that occur in the classroom. It was concluded that the value of the object is to think about the existing connection between pedagogy and psychoanalytic action as a method that allows explaining certain conflicts in the school environment and working on the subjectivity of students.","literature review","II INTERNATIONAL SEVEN MULTIDISCIPLINARY CONGRESS","","10.56238/homeinternationalanais-041","https://consensus.app/papers/psychoanalysis-and-pedagogy-as-a-study-that-brought-the-neto/72e6337ace0055728bfad230fbdbc4c8/"
"The Effectiveness of Digital-Based Psychotherapy in Overcoming Psychological Problems in College Students During the COVID-19 Pandemic: A Scoping Review","Digital-based psychotherapy effectively reduces mental health problems in college students during the COVID-19 pandemic.","Aat Sriati, Kurniawan Kurniawan, Sukma Senjaya, Khoirunnisa Khoirunnisa, Revita Nur Istiqomah Muslim, Azalia Melati Putri, Nuraulia Aghnia, Nurlaila Fitriani",2023,11,"This review aims to determine the effectiveness of the application of digital-based psychotherapy in overcoming the psychological problems of college students during the COVID-19 pandemic.Several databases consisting of EBSCO-Host CINAHL, PubMed, Scopus, Sage Journal, and Taylor and Francis were used in the search process and resulted in experimental studies focusing on the effectiveness of the application of digital-based psychotherapy during the COVID-19 pandemic timeline (2019-2022). Descriptive and exploratory analyses were performed based on the data set from the study.A total of 12 articles were included in the review. The digital psychotherapy interventions found are diverse including websites, smartphone applications, and video conferencing with the types of therapies provided in the form of, Cognitive Therapy, Cognitive-Behavioral Therapy, Psychodynamic Therapy, and Mindfulness Therapy. Each intervention has a diverse duration and frequency adjusting to the type of therapy given. Digital psychotherapeutic interventions are effective in reducing mental health problems among college students during the COVID-19 pandemic.The use of digital psychotherapy can be used as a prevention and support service for students who experience psychological problems during the COVID-19 pandemic. The combination of the use of digital media with video conferencing can be considered to increase the effectiveness of this service. Nurses need to understand how the procedure for implementing digital-based psychotherapy is to improve the quality of mental care services as an effort to prevent and support students. More research is needed to find out the effectiveness of the use of digital psychotherapy services and how they impact the psychological well-being of students holistically.","systematic review","Journal of Holistic Nursing","1","10.1177/08980101231162990","https://consensus.app/papers/the-effectiveness-of-digitalbased-psychotherapy-in-sriati-kurniawan/57b2e94cbe42519a9a64a12bd964c86d/"
"A Mixed Methods Framework for Psychoanalytic Group Therapy: From Qualitative Records to a Quantitative Approach Using T-Pattern, Lag Sequential, and Polar Coordinate Analyses","The lead therapist's communication strategies in group psychotherapy with adolescents change from the start to the end, with questioning, paraphrasing, and mentalization being particularly common.","Eulàlia Arias-Pujol, M. T. Anguera",2020,22,"Conducted within a mixed methods framework, this study focuses on the conversation-facilitation role of a lead therapist during group psychotherapy with adolescents. Conversation is an essential component of psychoanalytic psychotherapies and there is growing interest in describing and studying the impact of conversational techniques. One way to do this is to report on specific approaches, such as questioning, paraphrasing, and mentalization in intervention turns and to analyze their impact on the therapist-patient relationship. The main aim of this study was to investigate differences in communication strategies used by a lead therapist in the early and late stages of therapy with six adolescents aged 13-15 years. We employed a mixed methods design based on systematic direct observation supplemented by indirect observation. The observational methodology design was nomothetic, follow-up, and multidimensional. The choice of methodology is justified by our use of anobservation instrument for communication strategies combining a field format and a category system. We analyzed interobserver agreement quantitatively by Cohen's kappa using GSEQ5 software. Following confirmation of the reliability of the data, we analyzed the lead therapist's conversation-facilitation techniques in sessions 5 and 29 of a 30-session program by quantitatively analyzing what were initially qualitative data using T-pattern detection (THEME v.6 Edu software), lag sequential analysis (GSEQ5 software), and polar coordinate analysis (HOISAN v. 1.6.3.3.6. software and R software). The results show changes in the techniques used from the start to the end of therapy. Of the 28 communication strategies analyzed, three were particularly common: questioning and paraphrasing in session 5 and questioning and mentalization in session 29. This mixed methods study shows that combined use of T-pattern detection, lag sequential analysis, and polar coordinate analysis can offer meaningful and objective insights into group psychotherapy through the lens of the therapist.","non-rct observational study","Frontiers in Psychology","2","10.3389/fpsyg.2020.01922","https://consensus.app/papers/a-mixed-methods-framework-for-psychoanalytic-group-arias-pujol-anguera/f466b7ee7412589997d9cc75410f7316/"
"THE «RELATIONAL TURN» IN PSYCHOTHERAPY: HISTORICAL–THEORETICAL PRECONDITIONS, PRINCIPLES, AND ETHICAL IMPLICATIONS","The ""relational turn"" in psychotherapy and psychoanalysis emphasizes real relationships, mutuality, and context, rejecting full neutrality and emphasizing ethical sensitivity to power within the dyad.","Іван Данилевський",2025,0,"The article analyzes the historical preconditions and evolution of the «relational turn» in psychotherapy and psychoanalysis in the late twentieth century. Relevance. During the second half of the twentieth century, psychotherapeutic thought shifted from intrapersonal and medicalized models toward intersubjective and contextual frameworks. This «relational turn» placed at the center the real analyst–patient relationship, mutuality, the co-construction of meaning, and the ethics of interaction. Objective. The aim of the study is to reconstruct the historical preconditions and development of the “relational turn” in psychoanalytic theory and clinical practice, as well as to systematize its key principles. Methodology. Theoretical analysis and synthesis of psychoanalytic literature; a comparative review of traditions (object relations, interpersonal psychoanalysis, self-psychology) and intellectual influences (feminist critique, postmodern/constructivist thought); elements of a historiographic reading of key texts. Results. It is shown that: the shift from «one-person psychology» to «two-person psychology» revised notions of analyst neutrality and the nature of therapeutic change; a metatheoretical «crisis of confidence» in the 1970s-1980s prepared a pluralist framework for relationality; feminist critique introduced the categories of mutual recognition, the ethics of power, and subject-to-subject equality; empirical findings on attachment and dyadic co-regulation provided a scientific grounding for the primacy of relationships; the relational paradigm institutionalized the ideas of mutuality, intersubjectivity, and co-created experience. Conclusions. The «relational turn» is an integrative paradigm that re-orients psychotherapeutic theory and technique toward real relationships, mutuality, and context. It rejects the possibility of full neutrality, frames therapy as a dialogue between two subjects, and calls for ethical sensitivity to power within the dyad. Perspectives. Further research should focus on: empirical study of co-regulatory processes in psychotherapy; operationalizing «mutual recognition» as a therapeutic factor; and cross-cultural comparative analyses of relational technique.","literature review",""Scientific notes of the University"KROK"","","10.31732/2663-2209-2025-79-523-531","https://consensus.app/papers/the-%C2%AB-relational-turn-%C2%BB-in-psychotherapy-%D0%B4%D0%B0%D0%BD%D0%B8%D0%BB%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9/c74b614847655aee96c69509c9db15ae/"
"A concept analysis of psychological safety: Further understanding for application to health care","Psychological safety in healthcare involves five attributes: perceptions of consequences for taking interpersonal risks, strong interpersonal relationships, group-level phenomena, safe work environment, and non-punitive culture, affecting performance, organizational culture, and psychological and behavioral outcomes.","A. Ito, Kana Sato, Yoshie Yumoto, Miki Sasaki, Yasuko Ogata",2021,73,"To clarify the concept of psychological safety in a healthcare context and to provide the first theoretical framework for improving interpersonal relationships in the workplace to better patient care. A Rodgers' concept analysis. The concept analysis was conducted using a systematic search strategy on PubMed, CINAHL, PsycINFO and Ichushi-Web. An analysis of 88 articles studying psychological safety in health care identified five attributes: perceptions of the consequences of taking interpersonal risks, strong interpersonal relationships, group-level phenomenon, safe work environment for taking interpersonal risks and non-punitive culture. The antecedents included structure/system factors, interpersonal factors and individual factors. The four consequences included performance outcomes, organizational culture outcomes, and psychological and behavioural outcomes.","systematic review","Nursing Open","1","10.1002/nop2.1086","https://consensus.app/papers/a-concept-analysis-of-psychological-safety-further-ito-sato/04dbcefbbf2c5d11914f6cfaa26f19c5/"
"A systematic literature review of knowledge graph construction and application in education","Knowledge Graphs (KGs) are essential tools in education, enhancing personalized learning, curriculum design, concept mapping, and content recommendation systems.","Bilal Abu-Salih, Salihah Alotaibi",2024,82,"","systematic review","Heliyon","1","10.1016/j.heliyon.2024.e25383","https://consensus.app/papers/a-systematic-literature-review-of-knowledge-graph-abu-salih-alotaibi/4d69991c196d5d71a62484e7deae031a/"
"Sporting Mind: The Interplay of Physical Activity and Psychological Health","Regular exercise and mindfulness practices can enhance mental health and promote overall well-being through the synergistic relationship between physical engagement in sports and psychological well-being.","Alexandra Martín-Rodríguez, Laura Augusta Gostian-Ropotin, Ana Isabel Beltrán-Velasco, Noelia Belando-Pedreño, Juan Antonio Simón, Clara López-Mora, Eduardo Navarro-Jiménez, J. F. Tornero-Aguilera, V. J. Clemente-Suárez",2024,213,"The symbiotic relationship between sports practice and psychological well-being has, in recent times, surged to the forefront of academic and public attention. The aim of this narrative review is to comprehensively explore the intricate pathways linking physical engagement in sports to its subsequent impacts on mental health and synthesize the multifarious effects of sports on psychological health, offering insights for integrating physical and psychological strategies to enhance well-being. From neurobiological underpinnings to therapeutic applications, this comprehensive manuscript provides an in-depth dive into the multifaceted world of sports and psychology. Highlighting evidence-based interventions, this review aspires to offer actionable insights for practitioners, athletes, and individuals alike, advocating for a holistic approach to mental well-being. This manuscript highlights the profound impact of sports on mental health, emphasizing its role in emotional regulation, resilience, cognitive function, and treating psychological conditions. It details how sports induce neurochemical changes, enhance brain functions like memory and learning, and aid against cognitive decline. This review also notes the benefits of regular exercise in mood improvement, stress management, and social skill enhancement, particularly when combined with mindfulness practices. It underscores the importance of considering cultural and gender perspectives in sports psychology, advocating for an integrated physical-psychological approach to promote overall well-being.","literature review","Sports","1","10.3390/sports12010037","https://consensus.app/papers/sporting-mind-the-interplay-of-physical-activity-and-mart%C3%ADn-rodr%C3%ADguez-gostian-ropotin/da6fa32d4c0f5a439bfb9d1e8457870c/"
"Unravelling inter-relations within and between psychodynamic constructs and psychopathology using network analysis.","Psychodynamic constructs and psychopathology are closely inter-related, with personality functioning playing a crucial role in understanding these connections.","Larissa Vierl, Philipp Wülfing, Florian Juen, Susanne Hörz-Sagstetter, Carsten Spitzer, Cord Benecke",2024,9,"Psychodynamic constructs and psychopathology are closely inter-related, but more detailed insight is needed. We investigated these complex inter-relations using network analysis. A Gaussian graphical model in a sample of N = 2232 psychotherapeutic inpatients was estimated. Self-administered questionnaires to assess interpersonal relations (Inventory of Interpersonal Problems-32), psychodynamic conflicts (Operationalized Psychodynamic Diagnosis-Conflict Questionnaire), personality functioning (Operationalized Psychodynamic Diagnosis-Structure Questionnaire-Short Form, Inventory of Personality Organization-Short Form), and psychopathology (Brief Symptom Inventory) were utilized. We investigated the network structure, identified the most inter-related psychodynamic constructs and the psychodynamic constructs with the strongest inter-relations to psychopathology, and explored the clustering of all included constructs. Active and passive conflict processing modes were negatively inter-related in most conflicts. Passive conflict processing modes were more strongly related to psychopathology than active ones in all conflicts, apart from the care versus autarky conflict. Identity diffusion shared the strongest inter-relations within psychodynamic constructs. The psychodynamic constructs that were most strongly related to psychopathology were impairments in self-perception and the passive self-worth conflict. Psychopathology and psychodynamic constructs formed distinct clusters. Our results emphasize the relevance of personality functioning within psychodynamic constructs and in relation to psychopathology.","non-rct observational study","Personality and mental health","1","10.1002/pmh.1628","https://consensus.app/papers/unravelling-interrelations-within-and-between-vierl-w%C3%BClfing/d9f3980f465e5409acdf80c9e7d7207b/"
